questions_id,questions,num_respondents,options,Clinton_perc,Trump_perc,Others_Unknown_perc,options_perc,state,url
7,Race and gender,24558,Others,61,31,8,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Whites 18-29,43,47,10,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Latinos 30-44,65,28,7,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Latinos 45-64,64,32,4,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Latinos 65 and older,73,25,2,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,All others,61,31,8,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Whites 30-44,37,54,9,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Whites 45-64,34,62,4,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Whites 65 and older,39,58,3,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Blacks 18-29,85,9,6,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Blacks 30-44,89,7,4,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Blacks 45-64,90,9,1,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Blacks 65 and older,91,9,0,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
8,Age by race,24558,Latinos 18-29,68,26,6,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,High school or less,46,51,3,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,Some college,43,51,6,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,College graduate,49,44,7,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
9,Education,24558,Postgraduate,58,37,5,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
10,Are you a college graduate?,24558,Yes,52,42,6,50,nation,http://www.cnn.com/election/results/exit-polls/national/president
10,Are you a college graduate?,24558,No,44,51,5,50,nation,http://www.cnn.com/election/results/exit-polls/national/president
11,Education and race,24558,White college graduates,45,48,7,37,nation,http://www.cnn.com/election/results/exit-polls/national/president
11,Education and race,24558,Whites no degree,29,66,5,34,nation,http://www.cnn.com/election/results/exit-polls/national/president
11,Education and race,24558,Non-whites college grads,72,22,6,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
11,Education and race,24558,Non-whites no degree,76,20,4,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
12,Education among whites by sex,24558,White college-grad women,51,44,5,20,nation,http://www.cnn.com/election/results/exit-polls/national/president
12,Education among whites by sex,24558,White non-college women,34,61,5,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
12,Education among whites by sex,24558,White college-grad men,39,53,8,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
12,Education among whites by sex,24558,White non-college men,23,71,6,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
12,Education among whites by sex,24558,Non-whites,74,21,5,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"Under $30,000",53,40,7,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$30K-$49,999",52,41,7,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$50K-$99,999",46,49,5,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$100K-$199,999",47,48,5,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$200K-$249,999",49,47,4,4,nation,http://www.cnn.com/election/results/exit-polls/national/president
13,Income,24558,"$250,000 or more",46,46,8,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
14,Income,24558,Under $50K,53,41,6,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
14,Income,24558,$50K or more,47,48,5,64,nation,http://www.cnn.com/election/results/exit-polls/national/president
15,Income,24558,Under $100K,49,45,6,66,nation,http://www.cnn.com/election/results/exit-polls/national/president
15,Income,24558,$100K or more,47,47,6,34,nation,http://www.cnn.com/election/results/exit-polls/national/president
16,Income,24558,Under $50K,53,41,6,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
16,Income,24558,$50K-$100K,46,49,5,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
16,Income,24558,$100K or more,47,47,6,34,nation,http://www.cnn.com/election/results/exit-polls/national/president
17,Party ID,24558,Democrats,89,8,3,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
17,Party ID,24558,Republicans,8,88,4,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
17,Party ID,24558,Independents,42,46,12,31,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Democratic men,87,9,4,14,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Democratic women,91,7,2,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Republican men,7,89,4,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Republican women,9,88,3,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Independent men,38,50,12,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
18,Party by gender,24558,Independent women,47,42,11,14,nation,http://www.cnn.com/election/results/exit-polls/national/president
19,Ideology,24558,Liberal,84,10,6,26,nation,http://www.cnn.com/election/results/exit-polls/national/president
19,Ideology,24558,Moderate,52,40,8,39,nation,http://www.cnn.com/election/results/exit-polls/national/president
19,Ideology,24558,Conservative,16,81,3,35,nation,http://www.cnn.com/election/results/exit-polls/national/president
20,Marital status,24558,Married,44,52,4,59,nation,http://www.cnn.com/election/results/exit-polls/national/president
20,Marital status,24558,Unmarried,55,37,8,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
21,Marital status by gender,24558,Married men,38,57,5,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
21,Marital status by gender,24558,Married women,49,47,4,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
21,Marital status by gender,24558,Unmarried men,46,44,10,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
21,Marital status by gender,24558,Unmarried women,63,32,5,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
22,White born-again or evangelical Christian?,24558,Yes,16,80,4,26,nation,http://www.cnn.com/election/results/exit-polls/national/president
22,White born-again or evangelical Christian?,24558,No,60,34,6,74,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Protestant,36,59,5,27,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Catholic,46,50,4,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Mormon,28,56,16,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Other Christian,43,54,3,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Jewish,71,23,6,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Muslim,NA,NA,NA,1,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,Other religion,58,32,10,7,nation,http://www.cnn.com/election/results/exit-polls/national/president
23,Religion,24558,No religion,67,25,8,15,nation,http://www.cnn.com/election/results/exit-polls/national/president
24,Religion,24558,Protestant,39,56,5,52,nation,http://www.cnn.com/election/results/exit-polls/national/president
24,Religion,24558,Catholic,46,50,4,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
24,Religion,24558,Jewish,71,23,6,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
24,Religion,24558,Another religion,62,29,9,8,nation,http://www.cnn.com/election/results/exit-polls/national/president
24,Religion,24558,No religion,67,25,8,15,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Weekly or more,41,55,4,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Monthly,47,49,4,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Few times a year,48,46,6,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
25,How often do you attend religious services?,24558,Never,62,30,8,22,nation,http://www.cnn.com/election/results/exit-polls/national/president
26,How often do you attend religious services?,24558,Monthly or more,43,53,4,49,nation,http://www.cnn.com/election/results/exit-polls/national/president
26,How often do you attend religious services?,24558,Less often than that,54,39,7,51,nation,http://www.cnn.com/election/results/exit-polls/national/president
27,Union household?,24558,Yes,51,42,7,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
27,Union household?,24558,No,46,48,6,82,nation,http://www.cnn.com/election/results/exit-polls/national/president
28,Served in the U.S. military,24558,Veterans,34,60,6,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
28,Served in the U.S. military,24558,Non-veterans,50,44,6,87,nation,http://www.cnn.com/election/results/exit-polls/national/president
29,Were you born a U.S. citizen?,24558,Yes,45,49,6,91,nation,http://www.cnn.com/election/results/exit-polls/national/president
29,Were you born a U.S. citizen?,24558,No,64,31,5,9,nation,http://www.cnn.com/election/results/exit-polls/national/president
30,First-time voter?,24558,Yes,57,38,5,10,nation,http://www.cnn.com/election/results/exit-polls/national/president
30,First-time voter?,24558,No,47,47,6,90,nation,http://www.cnn.com/election/results/exit-polls/national/president
31,When did you decide presidential vote?,24558,Last few days,43,43,14,8,nation,http://www.cnn.com/election/results/exit-polls/national/president
31,When did you decide presidential vote?,24558,Last week,41,49,10,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
31,When did you decide presidential vote?,24558,In October,37,51,12,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
31,When did you decide presidential vote?,24558,In September,46,48,6,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
31,When did you decide presidential vote?,24558,Before September,52,45,3,60,nation,http://www.cnn.com/election/results/exit-polls/national/president
32,When did you decide presidential vote?,24558,In the last week,42,45,13,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
32,When did you decide presidential vote?,24558,Before that,49,46,5,85,nation,http://www.cnn.com/election/results/exit-polls/national/president
33,When did you decide presidential vote?,24558,In the last month,40,48,12,26,nation,http://www.cnn.com/election/results/exit-polls/national/president
33,When did you decide presidential vote?,24558,Before that,51,45,4,73,nation,http://www.cnn.com/election/results/exit-polls/national/president
34,Opinion of presidential candidate you voted for,24558,Strongly favor ,53,41,6,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
34,Opinion of presidential candidate you voted for,24558,Have reservations,49,48,3,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
34,Opinion of presidential candidate you voted for,24558,Dislike opponents,39,50,11,25,nation,http://www.cnn.com/election/results/exit-polls/national/president
35,Most important issue facing the country,24558,Foreign policy,60,33,7,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
35,Most important issue facing the country,24558,Immigration,33,64,3,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
35,Most important issue facing the country,24558,Economy,52,41,7,52,nation,http://www.cnn.com/election/results/exit-polls/national/president
35,Most important issue facing the country,24558,Terrorism,40,57,3,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
36,Which candidate quality mattered most?,24558,Cares about me,57,34,9,15,nation,http://www.cnn.com/election/results/exit-polls/national/president
36,Which candidate quality mattered most?,24558,Can bring change,14,82,4,39,nation,http://www.cnn.com/election/results/exit-polls/national/president
36,Which candidate quality mattered most?,24558,Right experience,90,7,3,22,nation,http://www.cnn.com/election/results/exit-polls/national/president
36,Which candidate quality mattered most?,24558,Good judgment,65,25,10,20,nation,http://www.cnn.com/election/results/exit-polls/national/president
37,Illegal immigrants working in the U.S. should be:,24558,Offered legal status,61,33,6,70,nation,http://www.cnn.com/election/results/exit-polls/national/president
37,Illegal immigrants working in the U.S. should be:,24558,Deported to home country,14,83,3,25,nation,http://www.cnn.com/election/results/exit-polls/national/president
38,View of U.S. wall along the entire Mexican border,24558,Support,10,85,5,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
38,View of U.S. wall along the entire Mexican border,24558,Oppose,76,16,8,54,nation,http://www.cnn.com/election/results/exit-polls/national/president
39,Effect of international trade,24558,Creates U.S. jobs,59,35,6,39,nation,http://www.cnn.com/election/results/exit-polls/national/president
39,Effect of international trade,24558,Takes away U.S. jobs,32,64,4,42,nation,http://www.cnn.com/election/results/exit-polls/national/president
39,Effect of international trade,24558,Does not affect jobs,65,30,5,11,nation,http://www.cnn.com/election/results/exit-polls/national/president
40,How is the fight against ISIS going?,24558,Very well,85,11,4,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
40,How is the fight against ISIS going?,24558,Somewhat well,71,24,5,35,nation,http://www.cnn.com/election/results/exit-polls/national/president
40,How is the fight against ISIS going?,24558,Somewhat badly,37,55,8,28,nation,http://www.cnn.com/election/results/exit-polls/national/president
40,How is the fight against ISIS going?,24558,Very badly,12,83,5,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
41,How is the fight against ISIS going?,24558,Well,73,22,5,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
41,How is the fight against ISIS going?,24558,Badly,25,68,7,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
42,"In your vote, were Supreme Court appointments:",24558,The most important factor,41,56,3,21,nation,http://www.cnn.com/election/results/exit-polls/national/president
42,"In your vote, were Supreme Court appointments:",24558,An important factor,49,46,5,48,nation,http://www.cnn.com/election/results/exit-polls/national/president
42,"In your vote, were Supreme Court appointments:",24558,A minor factor,49,40,11,14,nation,http://www.cnn.com/election/results/exit-polls/national/president
42,"In your vote, were Supreme Court appointments:",24558,Not a factor at all,55,37,8,14,nation,http://www.cnn.com/election/results/exit-polls/national/president
43,"In your vote, were Supreme Court appointments:",24558,Important,47,49,4,70,nation,http://www.cnn.com/election/results/exit-polls/national/president
43,"In your vote, were Supreme Court appointments:",24558,Not important,52,39,9,28,nation,http://www.cnn.com/election/results/exit-polls/national/president
44,Does the country's criminal justice system:,24558,Treat all fairly,23,73,4,43,nation,http://www.cnn.com/election/results/exit-polls/national/president
44,Does the country's criminal justice system:,24558,Treat blacks unfairly,72,22,6,48,nation,http://www.cnn.com/election/results/exit-polls/national/president
45,View on Obamacare,24558,Did not go far enough,78,18,4,30,nation,http://www.cnn.com/election/results/exit-polls/national/president
45,View on Obamacare,24558,Was about right,83,10,7,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
45,View on Obamacare,24558,Went too far,13,82,5,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
46,Feelings about the federal government,24558,Enthusiastic,78,19,3,6,nation,http://www.cnn.com/election/results/exit-polls/national/president
46,Feelings about the federal government,24558,Satisfied,76,19,5,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
46,Feelings about the federal government,24558,Dissatisfied,46,48,6,46,nation,http://www.cnn.com/election/results/exit-polls/national/president
46,Feelings about the federal government,24558,Angry,18,75,7,23,nation,http://www.cnn.com/election/results/exit-polls/national/president
47,Feelings about the federal government,24558,Enthusiastic/Satisfied,76,19,5,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
47,Feelings about the federal government,24558,Dissatisfied/Angry,36,57,7,69,nation,http://www.cnn.com/election/results/exit-polls/national/president
48,Opinion of government,24558,Government should do more,74,22,4,45,nation,http://www.cnn.com/election/results/exit-polls/national/president
48,Opinion of government,24558,Government doing too much,22,72,6,50,nation,http://www.cnn.com/election/results/exit-polls/national/president
49,Opinion of Barack Obama as president,24558,Strongly approve,93,4,3,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
49,Opinion of Barack Obama as president,24558,Somewhat approve,69,20,11,20,nation,http://www.cnn.com/election/results/exit-polls/national/president
49,Opinion of Barack Obama as president,24558,Somewhat disapprove,14,77,9,12,nation,http://www.cnn.com/election/results/exit-polls/national/president
49,Opinion of Barack Obama as president,24558,Strongly disapprove,3,93,4,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
50,Opinion of Barack Obama as president,24558,Approve,84,10,6,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
50,Opinion of Barack Obama as president,24558,Disapprove,6,89,5,45,nation,http://www.cnn.com/election/results/exit-polls/national/president
51,Should the next president:,24558,Continue Obama's policies,91,5,4,28,nation,http://www.cnn.com/election/results/exit-polls/national/president
51,Should the next president:,24558,Be more conservative,13,82,5,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
51,Should the next president:,24558,Be more liberal,69,23,8,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
52,Opinion of Hillary Clinton,24558,Favorable,96,3,1,43,nation,http://www.cnn.com/election/results/exit-polls/national/president
52,Opinion of Hillary Clinton,24558,Unfavorable,11,81,8,55,nation,http://www.cnn.com/election/results/exit-polls/national/president
53,Opinion of Donald Trump,24558,Favorable,4,95,1,38,nation,http://www.cnn.com/election/results/exit-polls/national/president
53,Opinion of Donald Trump,24558,Unfavorable,77,15,8,60,nation,http://www.cnn.com/election/results/exit-polls/national/president
54,Opinion of Clinton and Trump,24558,Both favorable,NA,NA,NA,2,nation,http://www.cnn.com/election/results/exit-polls/national/president
54,Opinion of Clinton and Trump,24558,Only Clinton favorable,98,1,1,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
54,Opinion of Clinton and Trump,24558,Only Trump favorable,1,98,1,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
54,Opinion of Clinton and Trump,24558,Both unfavorable,30,47,23,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
55,Is Hillary Clinton honest and trustworthy?,24558,Yes,94,4,2,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
55,Is Hillary Clinton honest and trustworthy?,24558,No,20,72,8,61,nation,http://www.cnn.com/election/results/exit-polls/national/president
56,Is Donald Trump honest and trustworthy?,24558,Yes,6,94,0,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
56,Is Donald Trump honest and trustworthy?,24558,No,71,20,9,64,nation,http://www.cnn.com/election/results/exit-polls/national/president
57,Which candidate is honest?,24558,Both are,NA,NA,NA,2,nation,http://www.cnn.com/election/results/exit-polls/national/president
57,Which candidate is honest?,24558,Only Clinton is,97,1,2,34,nation,http://www.cnn.com/election/results/exit-polls/national/president
57,Which candidate is honest?,24558,Only Trump is,2,98,0,31,nation,http://www.cnn.com/election/results/exit-polls/national/president
57,Which candidate is honest?,24558,Neither is,40,43,17,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
58,Is Clinton qualified to serve as president?,24558,Yes,86,9,5,52,nation,http://www.cnn.com/election/results/exit-polls/national/president
58,Is Clinton qualified to serve as president?,24558,No,5,88,7,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
59,Is Trump qualified to serve as president?,24558,Yes,4,94,2,38,nation,http://www.cnn.com/election/results/exit-polls/national/president
59,Is Trump qualified to serve as president?,24558,No,75,17,8,61,nation,http://www.cnn.com/election/results/exit-polls/national/president
60,Who is qualified to serve as president?,24558,Both are,22,71,7,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
60,Who is qualified to serve as president?,24558,Only Clinton is,94,2,4,46,nation,http://www.cnn.com/election/results/exit-polls/national/president
60,Who is qualified to serve as president?,24558,Only Trump is,1,98,1,32,nation,http://www.cnn.com/election/results/exit-polls/national/president
60,Who is qualified to serve as president?,24558,Neither is,15,66,19,15,nation,http://www.cnn.com/election/results/exit-polls/national/president
61,Does Clinton have the temperament to be president?,24558,Yes,83,12,5,55,nation,http://www.cnn.com/election/results/exit-polls/national/president
61,Does Clinton have the temperament to be president?,24558,No,5,88,7,44,nation,http://www.cnn.com/election/results/exit-polls/national/president
62,Does Trump have the temperament to be president?,24558,Yes,5,94,1,35,nation,http://www.cnn.com/election/results/exit-polls/national/president
62,Does Trump have the temperament to be president?,24558,No,72,19,9,63,nation,http://www.cnn.com/election/results/exit-polls/national/president
63,Which candidate has the right temperament?,24558,Both do,20,77,3,5,nation,http://www.cnn.com/election/results/exit-polls/national/president
63,Which candidate has the right temperament?,24558,Only Clinton does,90,5,5,49,nation,http://www.cnn.com/election/results/exit-polls/national/president
63,Which candidate has the right temperament?,24558,Only Trump does,2,97,1,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
63,Which candidate has the right temperament?,24558,Neither does,12,67,21,14,nation,http://www.cnn.com/election/results/exit-polls/national/president
64,How would you feel if Clinton wins?,24558,Excited,98,1,1,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
64,How would you feel if Clinton wins?,24558,Optimistic,92,5,3,27,nation,http://www.cnn.com/election/results/exit-polls/national/president
64,How would you feel if Clinton wins?,24558,Concerned,19,68,13,24,nation,http://www.cnn.com/election/results/exit-polls/national/president
64,How would you feel if Clinton wins?,24558,Scared,1,94,5,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
65,How would you feel if Clinton wins?,24558,Positive,94,3,3,43,nation,http://www.cnn.com/election/results/exit-polls/national/president
65,How would you feel if Clinton wins?,24558,Negative,9,82,9,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
66,How would you feel if Trump wins?,24558,Excited,2,97,1,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
66,How would you feel if Trump wins?,24558,Optimistic,3,95,2,27,nation,http://www.cnn.com/election/results/exit-polls/national/president
66,How would you feel if Trump wins?,24558,Concerned,54,33,13,20,nation,http://www.cnn.com/election/results/exit-polls/national/president
66,How would you feel if Trump wins?,24558,Scared,92,2,6,37,nation,http://www.cnn.com/election/results/exit-polls/national/president
67,How would you feel if Trump wins?,24558,Positive,3,95,2,40,nation,http://www.cnn.com/election/results/exit-polls/national/president
67,How would you feel if Trump wins?,24558,Negative,78,13,9,57,nation,http://www.cnn.com/election/results/exit-polls/national/president
68,Does Clinton's use of private email bother you:,24558,A lot,7,86,7,45,nation,http://www.cnn.com/election/results/exit-polls/national/president
68,Does Clinton's use of private email bother you:,24558,Some,68,25,7,18,nation,http://www.cnn.com/election/results/exit-polls/national/president
68,Does Clinton's use of private email bother you:,24558,Not much,88,7,5,17,nation,http://www.cnn.com/election/results/exit-polls/national/president
68,Does Clinton's use of private email bother you:,24558,Not at all,93,5,2,19,nation,http://www.cnn.com/election/results/exit-polls/national/president
69,Does Clinton's use of private email bother you?,24558,Yes,24,69,7,63,nation,http://www.cnn.com/election/results/exit-polls/national/president
69,Does Clinton's use of private email bother you?,24558,No,91,6,3,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
70,Does Donald Trump's treatment of women bother you:,24558,A lot,83,11,6,50,nation,http://www.cnn.com/election/results/exit-polls/national/president
70,Does Donald Trump's treatment of women bother you:,24558,Some,20,73,7,20,nation,http://www.cnn.com/election/results/exit-polls/national/president
70,Does Donald Trump's treatment of women bother you:,24558,Not much,8,88,4,13,nation,http://www.cnn.com/election/results/exit-polls/national/president
70,Does Donald Trump's treatment of women bother you:,24558,Not at all,11,86,3,16,nation,http://www.cnn.com/election/results/exit-polls/national/president
71,Does Donald Trump's treatment of women bother you?,24558,Yes,65,29,6,70,nation,http://www.cnn.com/election/results/exit-polls/national/president
71,Does Donald Trump's treatment of women bother you?,24558,No,10,87,3,29,nation,http://www.cnn.com/election/results/exit-polls/national/president
72,Who would better handle the economy?,24558,Clinton,95,1,4,46,nation,http://www.cnn.com/election/results/exit-polls/national/president
72,Who would better handle the economy?,24558,Trump,3,94,3,48,nation,http://www.cnn.com/election/results/exit-polls/national/president
73,Who would better handle foreign policy?,24558,Clinton,86,7,7,53,nation,http://www.cnn.com/election/results/exit-polls/national/president
73,Who would better handle foreign policy?,24558,Trump,2,96,2,42,nation,http://www.cnn.com/election/results/exit-polls/national/president
74,Who would be a better commander in chief?,24558,Clinton,93,2,5,49,nation,http://www.cnn.com/election/results/exit-polls/national/president
74,Who would be a better commander in chief?,24558,Trump,1,95,4,46,nation,http://www.cnn.com/election/results/exit-polls/national/president
75,Opinion of the Democratic Party,24558,Favorable,88,8,4,47,nation,http://www.cnn.com/election/results/exit-polls/national/president
75,Opinion of the Democratic Party,24558,Unfavorable,9,83,8,49,nation,http://www.cnn.com/election/results/exit-polls/national/president
76,Opinion of the Republican Party,24558,Favorable,11,85,4,40,nation,http://www.cnn.com/election/results/exit-polls/national/president
76,Opinion of the Republican Party,24558,Unfavorable,73,20,7,55,nation,http://www.cnn.com/election/results/exit-polls/national/president
77,Condition of national economy,24558,Excellent,83,16,1,3,nation,http://www.cnn.com/election/results/exit-polls/national/president
77,Condition of national economy,24558,Good,76,18,6,33,nation,http://www.cnn.com/election/results/exit-polls/national/president
77,Condition of national economy,24558,Not good,40,53,7,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
77,Condition of national economy,24558,Poor,15,79,6,21,nation,http://www.cnn.com/election/results/exit-polls/national/president
78,Condition of national economy,24558,Good,77,18,5,36,nation,http://www.cnn.com/election/results/exit-polls/national/president
78,Condition of national economy,24558,Poor,31,62,7,62,nation,http://www.cnn.com/election/results/exit-polls/national/president
79,Financial situation compared to four years ago:,24558,Better today,72,23,5,31,nation,http://www.cnn.com/election/results/exit-polls/national/president
79,Financial situation compared to four years ago:,24558,Worse today,19,77,4,27,nation,http://www.cnn.com/election/results/exit-polls/national/president
79,Financial situation compared to four years ago:,24558,About the same,47,45,8,41,nation,http://www.cnn.com/election/results/exit-polls/national/president
