,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Eastford,Windham,4,424,21,445,304,9,313,4,1,5,G IT L,467,29,496,1199,60,1259
Easton,Fairfield,4,1745,59,1804,1174,58,1232,35,4,39,C CFL G IT L WF,2359,92,2451,5313,213,5526
Ellington,Tolland,2,2278,75,2353,2392,84,2476,109,9,118,CFL G IT L,4924,174,5098,9703,342,10045
Enfield,Hartford,2,5004,171,5175,9057,342,9399,406,27,433,C CFL ETP G I IT L WF,11365,464,11829,25832,1004,26836
Essex,Middlesex,2,1360,19,1379,1490,39,1529,32,1,33,G IT L,1876,62,1938,4758,121,4879
Fairfield,Fairfield,4,11001,653,11654,10564,728,11292,289,12,301,G I IT L RF WF,15770,1186,16956,37624,2579,40203
Farmington,Hartford,5,4564,216,4780,5386,335,5721,142,1,143,G I IT L WF,7353,521,7874,17445,1073,18518
Franklin,New London,2,321,4,325,370,8,378,11,0,11,G IT L,614,12,626,1316,24,1340
Glastonbury,Hartford,"1,2",5925,437,6362,7219,547,7766,136,3,139,CFL G IT L,9045,1142,10187,22325,2129,24454
Goshen,Litchfield,5,785,16,801,518,18,536,21,0,21,C G IT L,827,44,871,2151,78,2229
Granby,Hartford,1,2364,132,2496,1951,127,2078,78,5,83,G IT L,2920,336,3256,7313,600,7913
Greenwich,Fairfield,4,13618,703,14321,8957,630,9587,494,41,535,C CFL G I IT L WF,13413,967,14380,36482,2341,38823
Griswold,New London,2,1309,103,1412,2320,191,2511,104,5,109,C G IT L,2889,343,3232,6622,642,7264
Groton,New London,2,4073,151,4224,6038,246,6284,118,3,121,C G IT L WF,10350,456,10806,20579,856,21435
Guilford,New Haven,3,3548,118,3666,5249,208,5457,63,0,63,G I IT L RF,6955,305,7260,15815,631,16446
Haddam,Middlesex,2,1348,27,1375,1760,46,1806,59,1,60,CFL G I IT L RF,2856,74,2930,6023,148,6171
Hamden,New Haven,3,4155,244,4399,16503,823,17326,263,16,279,G I IT L RF,13358,1071,14429,34279,2154,36433
Hampton,Windham,2,337,15,352,421,27,448,19,3,22,G IT L THP,472,41,513,1249,86,1335
Hartford,Hartford,1,1941,354,2295,36486,6816,43302,292,42,334,CFL G IT L WF,11122,2886,14008,49841,10098,59939
Hartland,Hartford,1,622,11,633,337,9,346,31,0,31,G IT,552,16,568,1542,36,1578
Harwinton,Litchfield,5,1187,34,1221,964,41,1005,43,2,45,G I IT L,1876,81,1957,4070,158,4228
Hebron,Tolland,2,1631,17,1648,1823,14,1837,14,1,15,G IT L,3110,44,3154,6578,76,6654
Kent,Litchfield,5,492,11,503,755,25,780,0,1,1,G,763,27,790,2110,66,2176
Killingly,Windham,2,1604,63,1667,2534,99,2633,100,3,103,IT,5040,246,5286,9202,408,9610
Killingworth,Middlesex,2,1286,65,1351,1111,61,1172,24,0,24,G IT L WF,2014,234,2248,4456,360,4816
Lebanon,New London,2,1215,30,1245,1251,33,1284,45,0,45,G IT L WF,2255,83,2338,5039,161,5200
Ledyard,New London,2,2487,100,2587,2391,101,2492,318,15,333,C G IT L WF,3995,232,4227,8889,433,9322
Lisbon,New London,2,524,13,537,876,38,914,16,0,16,G IT L,1221,78,1299,2675,131,2806
Litchfield,Litchfield,5,2028,112,2140,1645,96,1741,54,2,56,G IT L WF,2410,178,2588,6100,386,6486
Lyme,New London,2,569,15,584,527,18,545,17,0,17,G IT L,712,44,756,1913,80,1993
Madison,New Haven,2,4249,146,4395,3601,131,3732,105,3,108,G IT L,5649,221,5870,13974,558,14532
Manchester,Hartford,1,5188,727,5915,11711,1599,13310,475,60,535,G I IT L RF,11553,2753,14306,28600,5104,33704
Mansfield,Tolland,2,1566,344,1910,4819,1095,5914,148,25,173,C G IT L WF,5899,1931,7830,12353,3371,15724
Marlborough,Hartford,2,1067,25,1092,1297,43,1340,69,1,70,G IT L,1812,86,1898,4362,160,4522
Meriden,New Haven,5,4379,124,4503,11723,259,11982,186,6,192,G IT L,17058,500,17558,33206,883,34089
Middlebury,New Haven,5,2419,48,2467,1101,24,1125,46,0,46,C CFL G L,1758,38,1796,5296,110,5406
Middlefield,Middlesex,3,637,6,643,1017,21,1038,18,0,18,G IT L,1604,30,1634,3508,80,3588
Middletown,Middlesex,"1,3",3610,378,3988,11502,1999,13501,250,23,273,G IT L WF,8846,1754,10600,24232,4138,28370
Milford,New Haven,3,7170,234,7404,9404,328,9732,274,7,281,CFL G IT L,16755,600,17355,33400,1163,34563
Monroe,Fairfield,4,3397,70,3467,2617,66,2683,71,1,72,F G I IT L MIP RF WF,7067,188,7255,13155,329,13484
Montville,New London,2,1724,73,1797,2826,130,2956,74,5,79,G IT L,5202,290,5492,9762,494,10256
Morris,Litchfield,5,645,17,662,366,14,380,10,1,11,G IM IT L,670,34,704,1923,74,1997
Naugatuck,New Haven,3,3439,68,3507,6000,106,6106,242,9,251,G IT L,8298,216,8514,18206,417,18623
New Britain,Hartford,5,3344,413,3757,17318,907,18225,469,27,496,C G IT L WF,12181,1000,13181,32898,2323,35221
New Canaan,Fairfield,4,6801,320,7121,2647,184,2831,55,3,58,CFL G I IT L RF WF,3773,363,4136,13351,868,14219
New Fairfield,Fairfield,5,2976,29,3005,2029,17,2046,130,1,131,G IT L,4543,57,4600,9656,104,9760
New Hartford,Litchfield,1,1373,30,1403,1234,35,1269,108,1,109,G IT L WF,1855,93,1948,4949,195,5144
New Haven,New Haven,3,2651,323,2974,49404,4268,53672,487,37,524,G IT L,18831,1884,20715,71065,6483,77548
New London,New London,2,1336,54,1390,6572,281,6853,179,8,187,C CFL G IT L RF WF,5776,347,6123,13910,690,14600
New Milford,Litchfield,5,5069,187,5256,4309,198,4507,226,8,234,G IT L,9042,422,9464,18670,819,19489
Newington,Hartford,1,3316,81,3397,8018,211,8229,250,12,262,C G I IT L RF WF,7493,251,7744,19131,564,19695
Newtown,Fairfield,5,5364,258,5622,4505,309,4814,304,21,325,C CFL G IT L WF,6979,652,7631,16859,1219,18078
Norfolk,Litchfield,5,224,0,224,400,2,402,11,0,11,G IT L WF,525,3,528,1192,5,1197
North Branford,New Haven,3,1845,44,1889,2136,50,2186,43,0,43,L,4991,158,5149,8989,252,9241
North Canaan,Litchfield,5,485,0,485,470,0,470,17,0,17,G IT L,1021,0,1021,2038,0,2038
North Haven,New Haven,3,3780,89,3869,3827,135,3962,62,0,62,G IT L WF,7984,346,8330,15613,570,16183
North Stonington,New London,2,1071,14,1085,932,15,947,22,0,22,G IT L,1747,31,1778,4705,212,4917
Norwalk,Fairfield,4,8980,1456,10436,15721,2477,18198,955,152,1107,G IT L,18897,4481,23378,43845,8437,52282
Norwich,New London,2,2795,159,2954,7652,458,8110,247,23,270,CFL G IT L RF WF,9641,861,10502,20129,1478,21607
Old Lyme,New London,2,1822,44,1866,1780,43,1823,41,0,41,C G I IT L WF,2593,95,2688,6260,186,6446
Old Saybrook,Middlesex,2,2426,123,2549,2148,120,2268,65,4,69,G IT L,3024,144,3168,7692,389,8081
Orange,New Haven,3,2481,21,2502,2495,34,2529,94,2,96,CFL G IT L,5330,57,5387,10438,116,10554
Oxford,New Haven,4,2720,59,2779,1516,66,1582,132,4,136,G IT L,4280,134,4414,8630,263,8893
Plainfield,Windham,2,1572,45,1617,3099,86,3185,114,4,118,G IT L,4053,176,4229,8733,307,9040
Plainville,Hartford,5,2161,18,2179,3903,38,3941,9,0,9,G IT L,4659,50,4709,10758,108,10866
Plymouth,Litchfield,5,1575,46,1621,1948,63,2011,35,2,37,G L,4171,230,4401,7703,339,8042
Pomfret,Windham,2,710,18,728,777,38,815,9,0,9,C CFL G IT L,1234,56,1290,2739,113,2852
Portland,Middlesex,1,1246,25,1271,2139,58,2197,18,1,19,G IT L WF,2664,93,2757,6076,176,6252
Preston,New London,2,864,20,884,800,19,819,27,0,27,C G IT L,1658,55,1713,3367,94,3461
Prospect,New Haven,3,1898,54,1952,1319,27,1346,45,0,45,G IT L,3039,121,3160,6335,204,6539
Putnam,Windham,2,960,28,988,1783,67,1850,79,2,81,G IT L WF,2460,103,2563,5264,198,5462
Redding,Fairfield,4,2233,16,2249,2085,19,2104,61,0,61,G IT L WF,2675,25,2700,7118,70,7188
Ridgefield,Fairfield,4,6254,287,6541,4703,282,4985,125,10,135,G IT L,6073,382,6455,17050,952,18002
Rocky Hill,Hartford,1,2369,65,2434,4552,182,4734,20,1,21,C G IT L,4764,192,4956,11700,440,12140
Roxbury,Litchfield,5,518,39,557,495,37,532,15,1,16,CFL G IT L WF,683,66,749,1727,142,1869
Salem,New London,2,654,25,679,870,28,898,31,0,31,G IT L WF,1245,73,1318,2808,126,2934
Salisbury,Litchfield,5,644,17,661,1178,48,1226,39,0,39,G IT L,1124,51,1175,2964,118,3082
Scotland,Windham,2,275,7,282,317,8,325,18,2,20,G IT L WF,495,23,518,1113,41,1154
Seymour,New Haven,3,2138,74,2212,2217,114,2331,26,3,29,G IT L,5283,257,5540,9642,445,10087
Sharon,Litchfield,5,501,43,544,631,31,662,4,0,4,C CFL G IT L,619,114,733,1805,192,1997
Shelton,Fairfield,"3,4",6297,84,6381,5269,107,5376,54,4,58,C CFL G IT L,12842,311,13153,24443,502,24945
Sherman,Fairfield,5,864,15,879,628,20,648,35,0,35,CFL F G I L RF WF,1170,45,1215,2756,82,2838
Simsbury,Hartford,5,5335,314,5649,4881,302,5183,94,2,96,G IT L,6039,725,6764,16296,1342,17638
Somers,Tolland,2,1667,47,1714,1423,57,1480,41,1,42,CFL G I IT L WF,3195,130,3325,6377,237,6614
South Windsor,Hartford,1,3516,147,3663,5896,294,6190,92,3,95,G IT L,6564,513,7077,16128,962,17090
Southbury,New Haven,5,4452,347,4799,3137,221,3358,152,8,160,C G IT L,6207,592,6799,14181,1179,15360
Southington,Hartford,1,6335,199,6534,8404,287,8691,385,19,404,C G IT L,13126,572,13698,27875,1058,28933
Sprague,New London,2,332,27,359,671,52,723,10,0,10,C G IT L WF,754,72,826,1802,151,1953
Stafford,Tolland,2,1307,100,1407,2804,193,2997,45,0,45,G L,3308,377,3685,8429,736,9165
Stamford,Fairfield,4,13400,454,13854,24678,1333,26011,1010,66,1076,CFL G IT L,21720,1364,23084,59834,3151,62985
Sterling,Windham,2,420,10,430,429,11,440,36,0,36,C CFL G I IT L RF WF,1227,36,1263,2117,60,2177
Stonington,New London,2,2781,147,2928,4036,224,4260,41,3,44,IT L,5700,452,6152,12707,827,13534
Stratford,Fairfield,3,6023,171,6194,10336,373,10709,190,4,194,G IT L,15525,571,16096,32080,1133,33213
Suffield,Hartford,2,2524,89,2613,2248,96,2344,196,18,214,G IT L RF,3702,221,3923,8508,409,8917
Thomaston,Litchfield,5,1216,33,1249,1238,65,1303,34,3,37,CFL G IT L,2451,142,2593,4923,240,5163
Thompson,Windham,2,1011,27,1038,1708,49,1757,18,0,18,C G IT L,2584,148,2732,5409,226,5635
Tolland,Tolland,2,2218,97,2315,2565,176,2741,106,2,108,C G L,4702,485,5187,9634,763,10397
Torrington,Litchfield,"1,5",4590,154,4744,6160,255,6415,149,5,154,G IT L WF,8366,474,8840,19170,885,20055
Trumbull,Fairfield,4,6291,143,6434,6312,178,6490,54,2,56,C G IT L,11976,373,12349,24589,695,25284
Union,Tolland,2,231,10,241,145,4,149,10,1,11,CFL G IT L,236,10,246,722,40,762
Vernon,Tolland,2,2985,128,3113,5027,347,5374,110,16,126,IT L,8059,554,8613,16081,1030,17111
Voluntown,New London,2,360,7,367,496,18,514,10,1,11,A CFL G I IT L,830,23,853,1767,56,1823
Wallingford,New Haven,3,4789,344,5133,7354,620,7974,81,8,89,G IT L,13572,1715,15287,25720,2679,28399
Warren,Litchfield,5,336,1,337,234,0,234,5,0,5,C CFL G IT L RF,424,2,426,1011,5,1016
Washington,Litchfield,5,740,50,790,768,78,846,17,2,19,C CFL G IT L RF,916,101,1017,3361,272,3633
Waterbury,New Haven,"3,5",7201,203,7404,27917,887,28804,937,43,980,G WF,21280,779,22059,56480,1870,58350
Waterford,New London,2,2643,75,2718,3987,120,4107,82,1,83,C CFL G I IT L RF WF,6364,264,6628,13134,464,13598
Watertown,Litchfield,5,3750,120,3870,3548,131,3679,140,5,145,G IT L,7104,305,7409,14727,563,15290
West Hartford,Hartford,1,7094,247,7341,18195,657,18852,325,7,332,C G IT L,14070,720,14790,39457,1630,41087
West Haven,New Haven,3,2803,260,3063,16834,1514,18348,98,6,104,G IT L,9370,1225,10595,29052,3009,32061
Westbrook,Middlesex,2,1174,80,1254,1095,80,1175,45,10,55,C CFL G IT L WF,1987,254,2241,4288,415,4703
Weston,Fairfield,4,2001,76,2077,2302,73,2375,32,1,33,A CFL G IT L RF,2456,82,2538,6849,232,7081
Westport,Fairfield,4,4970,161,5131,6459,236,6695,90,1,91,G IT L,6661,312,6973,18153,710,18863
Wethersfield,Hartford,1,3624,97,3721,6924,201,7125,63,1,64,G I L,7065,233,7298,17654,532,18186
Willington,Tolland,2,812,28,840,1079,52,1131,41,1,42,CFL G IT L WF,1712,105,1817,3647,185,3832
Wilton,Fairfield,4,4378,189,4567,3076,172,3248,44,0,44,G IT L SP,4300,317,4617,11796,678,12474
Winchester,Litchfield,1,1487,46,1533,1833,81,1914,42,0,42,IT L WF,3573,165,3738,7065,299,7364
Windham,Windham,2,1649,115,1764,5475,436,5911,172,7,179,G W,6128,569,6697,13356,1122,14478
Windsor,Hartford,1,2898,141,3039,9655,362,10017,104,2,106,CFL G IT L WF,7690,404,8094,20293,908,21201
Windsor Locks,Hartford,1,1348,84,1432,2483,183,2666,50,1,51,G IT L WF,3543,323,3866,7549,593,8142
Wolcott,New Haven,5,2805,34,2839,2701,41,2742,175,3,178,C G IT L WF,5492,98,5590,11032,173,11205
Woodbridge,New Haven,3,1359,30,1389,2299,60,2359,34,0,34,C CFL G IT L,2901,102,3003,6753,197,6950
Woodbury,Litchfield,5,2447,63,2510,1552,70,1622,194,5,199,G IT L,2602,128,2730,6693,266,6959
Woodstock,Windham,2,1689,36,1725,1401,51,1452,92,5,97,G IT L,2093,99,2192,5183,186,5369
Totals,,,430564,19084,449648,768176,47537,815713,,,872839,60440,933279,2090539,128123,2218662,,
