,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Bristol,Hartford,1,5628,194,5822,13835,510,14345,126,6,132,C CFL G I IT L RF,14119,697,14816,33708,1407,35115
Brookfield,Fairfield,5,3554,221,3775,2127,170,2297,117,10,127,G IT L,4130,498,4628,9928,899,10827
Brooklyn,Windham,2,928,38,966,1414,47,1461,57,1,58,G IT L WF,2365,124,2489,4764,210,4974
Burlington,Hartford,5,1631,7,1638,1734,12,1746,23,0,23,G IT L,2712,17,2729,6100,36,6136
Canaan,Litchfield,5,199,1,200,260,7,267,2,0,2,G,268,8,276,729,16,745
Canterbury,Windham,2,964,42,1006,795,49,844,19,0,19,CF G IT L,1585,111,1696,3363,202,3565
Canton,Hartford,5,1994,58,2052,2139,62,2201,40,0,40,G IT L,2683,116,2799,6856,236,7092
Chaplin,Windham,2,402,8,410,408,18,426,2,1,3,G,526,55,581,1338,82,1420
Cheshire,New Haven,5,4428,153,4581,4753,170,4923,116,10,126,C CFL G I IT L WF,9022,367,9389,18319,700,19019
Chester,Middlesex,2,507,37,544,930,39,969,19,1,20,G IT L,1058,83,1141,2514,160,2674
Clinton,Middlesex,2,2312,56,2368,2568,60,2628,89,2,91,G IT L,4141,135,4276,9110,253,9363
Colchester,New London,2,2111,64,2175,3029,126,3155,31,1,32,CFL G IT L,4677,238,4915,9848,429,10277
Colebrook,Litchfield,1,271,9,280,316,18,334,12,0,12,G IT L WF,499,20,519,1098,47,1145
Columbia,Tolland,2,803,32,835,1250,50,1300,16,0,16,G IT L WF,1464,120,1584,3533,202,3735
Cornwall,Litchfield,5,209,9,218,409,18,427,8,0,8,G L,410,26,436,1036,53,1089
Coventry,Tolland,2,1509,103,1612,2278,154,2432,34,6,40,G IT L WF,3582,577,4159,7403,840,8243
Cromwell,Middlesex,1,1954,59,2013,3249,123,3372,92,4,96,G IT L,3961,173,4134,9256,359,9615
Danbury,Fairfield,5,6585,373,6958,10614,678,11292,385,32,417,G IT L RF,15400,1333,16733,32984,2416,35400
Darien,Fairfield,4,6153,162,6315,2392,95,2487,15,0,15,C G L,3971,187,4158,12531,444,12975
Deep River,Middlesex,2,616,15,631,1074,35,1109,10,0,10,CFL G IT L,1458,75,1533,3158,125,3283
Derby,New Haven,3,938,41,979,2724,112,2836,11,0,11,G L,2935,140,3075,6608,293,6901
Durham,Middlesex,"2,3",1352,33,1385,1247,45,1292,19,0,19,G IT L,2406,82,2488,5024,160,5184
Eastford,Windham,2,408,24,432,287,11,298,5,1,6,G IT L,436,36,472,1136,72,1208
East Granby,Hartford,1,959,5,964,972,7,979,17,0,17,G IT L WF,1458,9,1467,3406,21,3427
East Haddam,Middlesex,2,1243,42,1285,1858,40,1898,53,6,59,G I IT L,2614,100,2714,5768,188,5956
East Hampton,Middlesex,2,1717,64,1781,2587,101,2688,58,0,58,CFL G IT L WF,3957,206,4163,8319,371,8690
East Hartford,Hartford,1,2799,163,2962,13138,730,13868,95,8,103,CFL G I IT L RF WF,10595,799,11394,26627,1700,28327
East Haven,New Haven,3,2468,127,2595,5790,285,6075,28,1,29,G IT L WF,7462,470,7932,15748,883,16631
East Lyme,New London,2,2753,92,2845,3603,147,3750,21,0,21,G L,5436,328,5764,11813,567,12380
Easton,Fairfield,4,1710,33,1743,1153,36,1189,36,3,39,G IT L,2275,66,2341,5174,138,5312
East Windsor,Hartford,1,1431,56,1487,2384,116,2500,20,1,21,C CFL G IT L WF,3463,229,3692,7298,402,7700
Ellington,Tolland,2,2134,65,2199,2345,78,2423,101,8,109,CFL G IT L,4799,164,4963,9379,315,9694
Enfield,Hartford,2,4821,164,4985,9346,324,9670,291,22,313,C CFL ETP G I IT L WF,11371,543,11914,25829,1053,26882
Essex,Middlesex,2,1333,27,1360,1457,34,1491,11,1,12,G IT L,1776,79,1855,4577,141,4718
Fairfield,Fairfield,4,10650,395,11045,10309,425,10734,112,1,113,G I IT L RF WF,14890,779,15669,35961,1600,37561
Farmington,Hartford,5,4435,210,4645,5389,286,5675,59,4,63,G I IT L WF,7030,512,7542,16913,1012,17925
Franklin,New London,2,311,8,319,352,10,362,7,0,7,G IT L,588,11,599,1258,29,1287
Glastonbury,Hartford,"1,2",5762,413,6175,7236,503,7739,51,7,58,CFL G IT L,8585,1141,9726,21634,2064,23698
Goshen,Litchfield,5,757,14,771,540,7,547,12,0,12,C G IT L,824,20,844,2133,41,2174
Granby,Hartford,1,2271,128,2399,1956,112,2068,56,2,58,G IT L,2835,276,3111,7118,518,7636
Greenwich,Fairfield,4,13225,467,13692,8884,410,9294,325,19,344,C CFL G I IT L WF,12309,702,13011,34743,1598,36341
Griswold,New London,2,1208,110,1318,2343,205,2548,77,5,82,C G IT L,2640,360,3000,6268,680,6948
Groton,New London,2,3841,181,4022,5848,276,6124,51,1,52,C G IT L WF,9859,580,10439,19599,1038,20637
Guilford,New Haven,3,3567,160,3727,5151,231,5382,38,0,38,G I IT L RF,6857,404,7261,15613,795,16408
Haddam,Middlesex,2,1308,29,1337,1801,37,1838,48,0,48,CFL G I IT L RF,2710,111,2821,5867,177,6044
Hamden,New Haven,3,4152,293,4445,15760,816,16576,133,27,160,G I IT L RF,12885,1499,14384,32930,2635,35565
Hampton,Windham,2,338,9,347,453,18,471,14,0,14,G IT L THP,479,17,496,1284,44,1328
Hartford,Hartford,1,1952,360,2312,34615,6140,40755,137,11,148,CFL G IT L WF,10704,2965,13669,47408,9476,56884
Hartland,Hartford,1,594,12,606,346,7,353,27,0,27,G IT,566,15,581,1533,34,1567
Harwinton,Litchfield,5,1095,42,1137,993,32,1025,31,0,31,G I IT L,1857,83,1940,3976,157,4133
Hebron,Tolland,2,1597,44,1641,1801,34,1835,12,2,14,G IT L,2989,100,3089,6399,180,6579
Kent,Litchfield,5,489,13,502,738,20,758,1,0,1,IT,717,36,753,1945,69,2014
Killingly,Windham,2,1522,68,1590,2530,92,2622,36,0,36,G IT L WF,5053,283,5336,9141,443,9584
Killingworth,Middlesex,2,1216,76,1292,1090,58,1148,17,1,18,G IT L WF,1960,255,2215,4283,390,4673
Lebanon,New London,2,1192,27,1219,1271,44,1315,28,0,28,C G IT L WF,2204,112,2316,4695,183,4878
Ledyard,New London,2,2453,104,2557,2372,84,2456,310,6,316,G IT L,3913,214,4127,9048,408,9456
Lisbon,New London,2,494,20,514,893,36,929,8,0,8,G IT L WF,1259,90,1349,2654,146,2800
Litchfield,Litchfield,5,1965,78,2043,1653,84,1737,23,2,25,G IT L,2416,138,2554,6057,302,6359
Lyme,New London,2,573,11,584,512,13,525,12,2,14,G IT L,713,24,737,1810,50,1860
Madison,New Haven,2,4216,135,4351,3580,131,3711,65,5,70,G I IT L RF,5539,219,5758,13400,490,13890
Manchester,Hartford,1,5609,373,5982,12432,838,13270,374,32,406,C G IT L WF,12688,1307,13995,31103,2550,33653
Mansfield,Tolland,2,1496,257,1753,4847,839,5686,70,9,79,G IT L,5480,1679,7159,11893,2784,14677
Marlborough,Hartford,2,1025,27,1052,1339,37,1376,54,0,54,G IT L,1769,71,1840,4187,135,4322
Meriden,New Haven,5,4229,131,4360,11367,271,11638,102,3,105,C CFL G L,16626,596,17222,32324,1001,33325
Middlebury,New Haven,5,2394,76,2470,1078,37,1115,20,1,21,G IT L,1639,83,1722,5131,197,5328
Middlefield,Middlesex,3,605,18,623,994,31,1025,8,0,8,G IT L WF,1552,57,1609,3159,106,3265
Middletown,Middlesex,"1,3",3426,456,3882,10998,1976,12974,114,14,128,CFL G IT L,8141,1968,10109,22679,4414,27093
Milford,New Haven,3,7072,221,7293,9152,304,9456,132,6,138,F G I IT L MIP RF WF,16317,569,16886,32673,1100,33773
Monroe,Fairfield,4,3358,131,3489,2651,80,2731,25,1,26,G IT L,7133,335,7468,13167,547,13714
Montville,New London,2,1676,61,1737,2895,107,3002,44,1,45,G IM IT L,5113,263,5376,9728,432,10160
Morris,Litchfield,5,671,3,674,379,4,383,8,0,8,G IT L,663,3,666,1721,10,1731
Naugatuck,New Haven,3,3314,119,3433,5937,206,6143,213,10,223,C G IT L WF,7941,349,8290,17405,684,18089
New Britain,Hartford,5,3253,414,3667,17007,688,17695,405,17,422,CFL G I IT L RF WF,11282,827,12109,31947,1946,33893
New Canaan,Fairfield,4,6208,293,6501,2647,154,2801,41,2,43,G IT L,3599,293,3892,12495,742,13237
New Fairfield,Fairfield,5,2842,51,2893,1942,18,1960,98,2,100,G IT L WF,4377,71,4448,9259,142,9401
New Hartford,Litchfield,1,1299,70,1369,1258,57,1315,103,3,106,G IT L,1853,210,2063,4513,340,4853
New Haven,New Haven,3,2555,275,2830,44080,3344,47424,352,32,384,C CFL G IT L RF WF,16412,1866,18278,63399,5517,68916
Newington,Hartford,1,3253,97,3350,8135,245,8380,216,9,225,G IT L,7161,282,7443,18765,633,19398
New London,New London,2,1221,66,1287,5402,371,5773,121,16,137,C G I IT L RF WF,5293,486,5779,12037,939,12976
New Milford,Litchfield,5,4892,185,5077,4249,183,4432,156,10,166,C CFL G IT L WF,8814,404,9218,18111,782,18893
Newtown,Fairfield,5,5096,313,5409,4346,349,4695,241,18,259,G IT L WF,6517,759,7276,16200,1439,17639
Norfolk,Litchfield,5,209,0,209,411,0,411,1,0,1,L,518,0,518,1139,0,1139
North Branford,New Haven,3,1743,68,1811,2150,65,2215,19,0,19,G IT L,4950,215,5165,8862,348,9210
North Canaan,Litchfield,5,485,1,486,467,0,467,10,0,10,G IT L WF,1016,2,1018,1978,3,1981
North Haven,New Haven,3,3802,85,3887,3836,129,3965,19,1,20,G IT L,7922,342,8264,15579,557,16136
North Stonington,New London,2,994,23,1017,911,32,943,12,0,12,G IT L,1691,63,1754,3608,118,3726
Norwalk,Fairfield,4,8727,1315,10042,14934,2295,17229,834,140,974,CFL G IT L RF WF,18274,3799,22073,42769,7549,50318
Norwich,New London,2,2741,154,2895,7700,354,8054,198,10,208,C G I IT L WF,9348,785,10133,19987,1303,21290
Old Lyme,New London,2,1774,68,1842,1704,62,1766,23,1,24,G IT L,2472,134,2606,5973,265,6238
Old Saybrook,Middlesex,2,2427,142,2569,2138,116,2254,32,0,32,CFL G IT L,2905,241,3146,7502,499,8001
Orange,New Haven,3,2455,21,2476,2502,22,2524,23,1,24,G IT L,5172,44,5216,10152,88,10240
Oxford,New Haven,4,2527,69,2596,1504,50,1554,119,8,127,G IT L,4228,131,4359,8378,258,8636
Plainfield,Windham,2,1494,79,1573,3200,149,3349,81,5,86,G IT L,3969,311,4280,8744,544,9288
Plainville,Hartford,5,2058,50,2108,3910,64,3974,8,1,9,G L,4524,93,4617,10500,208,10708
Plymouth,Litchfield,5,1495,45,1540,1989,62,2051,23,3,26,C CFL G IT L,4124,239,4363,7631,349,7980
Pomfret,Windham,2,700,44,744,775,73,848,6,1,7,G IT L WF,1187,91,1278,2668,209,2877
Portland,Middlesex,1,1228,22,1250,2191,51,2242,10,1,11,C G IT L,2589,102,2691,6018,176,6194
Preston,New London,2,851,29,880,794,37,831,11,0,11,G IT L,1604,103,1707,3260,169,3429
Prospect,New Haven,3,1825,64,1889,1324,18,1342,24,0,24,G IT L WF,2940,98,3038,6113,180,6293
Putnam,Windham,2,883,35,918,1817,81,1898,53,2,55,G IT L WF,2325,136,2461,5078,254,5332
Redding,Fairfield,4,2221,55,2276,2026,31,2057,34,1,35,G IT L,2568,72,2640,6849,159,7008
Ridgefield,Fairfield,4,6083,370,6453,4636,277,4913,106,12,118,C G IT L,5561,512,6073,16386,1171,17557
Rocky Hill,Hartford,1,2335,120,2455,4585,234,4819,13,0,13,CFL G IT L WF,4529,311,4840,11462,665,12127
Roxbury,Litchfield,5,485,45,530,457,50,507,8,2,10,G IT L WF,645,78,723,1595,175,1770
Salem,New London,2,625,25,650,874,25,899,22,3,25,G IT L,1203,70,1273,2724,123,2847
Salisbury,Litchfield,5,667,12,679,1169,12,1181,34,2,36,G IT L WF,1083,32,1115,2953,58,3011
Scotland,Windham,2,248,10,258,325,11,336,12,3,15,G IT L,480,27,507,1065,51,1116
Seymour,New Haven,3,2044,65,2109,2199,89,2288,16,1,17,C CFL G IT L,5281,235,5516,9540,390,9930
Sharon,Litchfield,5,540,48,588,636,25,661,0,0,0,,602,116,718,1778,189,1967
Shelton,Fairfield,"3,4",6060,264,6324,5295,234,5529,55,3,58,CFL F G I L RF WF,12621,1053,13674,24031,1554,25585
Sherman,Fairfield,5,884,11,895,631,15,646,26,0,26,G IT L,1156,35,1191,2697,61,2758
Simsbury,Hartford,5,5161,566,5727,4645,474,5119,61,5,66,CFL G I IT L WF,5477,1123,6600,15344,2168,17512
Somers,Tolland,2,1612,44,1656,1441,58,1499,21,1,22,G IT L,3118,117,3235,6192,220,6412
Southbury,New Haven,5,4723,138,4861,3203,61,3264,118,5,123,C G IT L,6476,247,6723,14520,451,14971
Southington,Hartford,1,6096,113,6209,8589,156,8745,292,7,299,C G IT L,12945,328,13273,27922,604,28526
South Windsor,Hartford,1,3463,165,3628,5935,296,6231,37,5,42,C G IT L WF,6350,566,6916,15785,1032,16817
Sprague,New London,2,357,11,368,684,35,719,5,0,5,G L,710,79,789,1756,125,1881
Stafford,Tolland,2,1242,89,1331,2919,202,3121,23,0,23,CFL G IT L,3263,384,3647,7447,675,8122
Stamford,Fairfield,4,12991,515,13506,23893,1233,25126,758,40,798,C CFL G I IT L RF WF,20105,1443,21548,57747,3231,60978
Sterling,Windham,2,404,2,406,419,11,430,32,0,32,IT L,1224,24,1248,2079,37,2116
Stonington,New London,2,2717,159,2876,3957,243,4200,29,1,30,G IT L,5640,554,6194,12343,957,13300
Stratford,Fairfield,3,5901,142,6043,9987,311,10298,78,3,81,G IT L RF,15176,494,15670,31142,950,32092
Suffield,Hartford,2,2438,91,2529,2239,82,2321,168,12,180,CFL G IT L,3515,246,3761,8360,431,8791
Thomaston,Litchfield,5,1158,81,1239,1287,85,1372,20,3,23,C G IT L,2455,233,2688,4920,402,5322
Thompson,Windham,2,981,14,995,1794,30,1824,4,0,4,C G L,2546,70,2616,5325,114,5439
Tolland,Tolland,2,2196,73,2269,2667,102,2769,69,1,70,G IT L WF,4859,276,5135,9791,452,10243
Torrington,Litchfield,"1,5",4572,146,4718,6413,192,6605,76,2,78,C G IT L,8418,384,8802,19479,724,20203
Trumbull,Fairfield,4,6090,131,6221,6286,183,6469,28,2,30,CFL G IT L,11786,388,12174,24190,704,24894
Union,Tolland,2,233,3,236,145,4,149,5,0,5,IT L,230,7,237,613,14,627
Vernon,Tolland,2,2913,136,3049,4974,349,5323,64,12,76,A CFL G I IT L,7882,661,8543,15833,1158,16991
Voluntown,New London,2,324,9,333,484,20,504,7,0,7,G IT L,769,36,805,1584,65,1649
Wallingford,New Haven,3,4536,398,4934,7390,643,8033,32,8,40,C CFL G IT L RF,13008,1900,14908,24966,2949,27915
Warren,Litchfield,5,325,0,325,218,1,219,0,0,0,,413,3,416,956,4,960
Washington,Litchfield,5,693,63,756,707,107,814,6,1,7,G WF,826,156,982,2232,327,2559
Waterbury,New Haven,"3,5",7202,230,7432,27056,864,27920,776,39,815,C CFL G I IT L RF WF,20595,794,21389,55629,1927,57556
Waterford,New London,2,2610,73,2683,3985,122,4107,34,1,35,G IT L,6371,273,6644,13000,469,13469
Watertown,Litchfield,5,3670,96,3766,3614,122,3736,90,2,92,C G IT L,7142,234,7376,14516,454,14970
Westbrook,Middlesex,2,1143,84,1227,1043,93,1136,38,11,49,G IT L,1910,290,2200,4134,478,4612
West Hartford,Hartford,1,6997,177,7174,17756,503,18259,142,3,145,C CFL G IT L WF,13239,567,13806,38134,1250,39384
West Haven,New Haven,3,2815,307,3122,16338,1684,18022,59,5,64,A CFL G IT L RF,8850,1358,10208,28062,3354,31416
Weston,Fairfield,4,1935,122,2057,2205,114,2319,17,2,19,G IT L,2297,171,2468,6454,409,6863
Westport,Fairfield,4,4966,178,5144,6413,232,6645,21,2,23,G I L,6327,289,6616,17727,701,18428
Wethersfield,Hartford,1,3556,95,3651,6989,196,7185,33,0,33,CFL G IT L WF,6758,252,7010,17336,543,17879
Willington,Tolland,2,775,33,808,1035,67,1102,42,3,45,G IT L SP,1650,117,1767,3502,220,3722
Wilton,Fairfield,4,4248,183,4431,3024,166,3190,19,0,19,IT L WF,3960,355,4315,11251,704,11955
Winchester,Litchfield,1,1449,41,1490,1896,87,1983,46,1,47,G W,3540,181,3721,6931,310,7241
Windham,Windham,2,1699,115,1814,5698,356,6054,159,13,172,CFL G IT L WF,6036,451,6487,13592,935,14527
Windsor,Hartford,1,2861,149,3010,9431,342,9773,54,1,55,G IT L WF,7443,450,7893,19789,942,20731
Windsor Locks,Hartford,1,1378,18,1396,2687,32,2719,18,1,19,C G IT L WF,3747,52,3799,7830,103,7933
Wolcott,New Haven,5,2730,45,2775,2760,36,2796,148,3,151,C CFL G IT L,5407,109,5516,11045,193,11238
Woodbridge,New Haven,3,1362,26,1388,2257,45,2302,16,0,16,G IT L,2805,108,2913,6440,179,6619
Woodbury,Litchfield,5,2425,77,2502,1601,54,1655,36,1,37,G IT L,2679,134,2813,6741,266,7007
Woodstock,Windham,2,1635,25,1660,1414,35,1449,65,4,69,G IT L,1975,69,2044,5089,133,5222
Totals,,,419353,19120,438473,751360,43152,794512,12762,832,13594,,843399,60655,904054,2026874,123759,2150633
