,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Plainfield,Windham,2,1527,31,1558,2984,80,3064,122,5,127,G IT L,4017,153,4170,8542,264,8806
Plainville,Hartford,5,2096,22,2118,3836,48,3884,14,0,14,G IT L,4659,46,4705,10630,116,10746
Plymouth,Litchfield,5,1543,76,1619,1886,86,1972,39,0,39,G L,4027,268,4295,7467,430,7897
Pomfret,Windham,2,672,29,701,734,48,782,11,0,11,G IT L,1103,154,1257,2527,232,2759
Portland,Middlesex,1,1200,36,1236,2090,61,2151,18,1,19,G IT L WF,2617,103,2720,5938,200,6138
Preston,New London,2,835,23,858,770,29,799,31,0,31,G IT L,1602,82,1684,3254,136,3390
Prospect,New Haven,3,1866,64,1930,1315,32,1347,47,2,49,G IT L,2979,133,3112,6239,235,6474
Putnam,Windham,2,933,37,970,1735,77,1812,79,6,85,G IT L WF,2410,129,2539,5140,244,5384
Redding,Fairfield,4,2175,19,2194,2061,25,2086,62,1,63,G IT L WF,2697,28,2725,7062,78,7140
Ridgefield,Fairfield,4,6049,253,6302,4549,252,4801,129,6,135,G IT L,5953,349,6302,16567,855,17422
Rocky Hill,Hartford,1,2320,61,2381,4448,181,4629,16,1,17,G IT L,4776,196,4972,11559,439,11998
Roxbury,Litchfield,5,494,34,528,490,34,524,15,1,16,G IT L WF,690,56,746,1702,125,1827
Salem,New London,2,646,29,675,854,38,892,28,1,29,G IT L WF,1236,73,1309,2774,140,2914
Salisbury,Litchfield,5,625,25,650,1162,64,1226,38,0,38,G IT L,1113,63,1176,2919,154,3073
Scotland,Windham,2,276,2,278,313,3,316,19,2,21,G IT L WF,502,16,518,1116,24,1140
Seymour,New Haven,3,2066,84,2150,2176,103,2279,25,3,28,G IT L,5249,223,5472,9494,410,9904
Sharon,Litchfield,5,488,44,532,622,32,654,3,0,3,G IT L,626,108,734,1774,186,1960
Shelton,Fairfield,"3,4",6112,115,6227,5122,143,5265,38,2,40,G IT L,12548,409,12957,23815,669,24484
Sherman,Fairfield,5,823,32,855,639,37,676,33,2,35,F G I L RF WF,1103,82,1185,2653,155,2808
Simsbury,Hartford,5,5176,342,5518,4789,337,5126,88,4,92,G IT L,6016,752,6768,16026,1432,17458
Somers,Tolland,2,1668,35,1703,1412,36,1448,45,1,46,G I IT L WF,3236,107,3343,6429,181,6610
South Windsor,Hartford,1,3558,123,3681,5725,237,5962,113,3,116,G IT L,6394,351,6745,15835,720,16555
Southbury,New Haven,5,4363,351,4714,3109,235,3344,158,9,167,G IT L,6142,619,6761,13998,1247,15245
Southington,Hartford,1,5945,522,6467,7766,768,8534,384,42,426,G IT L,11679,1819,13498,25401,3110,28511
Sprague,New London,2,325,28,353,641,60,701,11,1,12,G IT L WF,742,74,816,1765,162,1927
Stafford,Tolland,2,1318,37,1355,2770,50,2820,57,0,57,G L,3396,116,3512,8488,265,8753
Stamford,Fairfield,4,12974,440,13414,23909,1444,25353,1004,62,1066,G IT L,21419,1298,22717,58341,3182,61523
Sterling,Windham,2,422,9,431,419,5,424,39,0,39,G I IT L RF WF,1249,33,1282,2143,50,2193
Stonington,New London,2,2674,133,2807,3968,204,4172,53,3,56,IT L,5735,336,6071,12574,675,13249
Stratford,Fairfield,3,5869,130,5999,10435,341,10776,197,2,199,G IT L,15420,444,15864,31917,935,32852
Suffield,Hartford,2,2426,94,2520,2158,106,2264,193,20,213,G IT L RF,3614,243,3857,8231,446,8677
Thomaston,Litchfield,5,1185,47,1232,1182,83,1265,33,3,36,G IT L,2421,146,2567,4809,276,5085
Thompson,Windham,2,996,24,1020,1661,43,1704,21,0,21,G IT L,2647,102,2749,5415,175,5590
Tolland,Tolland,2,2182,98,2280,2515,188,2703,111,6,117,G L,4603,472,5075,9469,766,10235
Torrington,Litchfield,"1,5",4457,181,4638,6021,298,6319,169,8,177,G IT L WF,8311,504,8815,18869,987,19856
Trumbull,Fairfield,4,6193,151,6344,6246,188,6434,80,4,84,G IT L,11866,353,12219,24315,692,25007
Union,Tolland,2,227,8,235,139,5,144,10,0,10,G IT L,229,10,239,712,26,738
Vernon,Tolland,2,2871,177,3048,4873,387,5260,117,3,120,IT L,7884,732,8616,15639,1297,16936
Voluntown,New London,2,354,7,361,483,16,499,11,1,12,G I IT L,822,23,845,1755,49,1804
Wallingford,New Haven,3,4674,168,4842,7139,329,7468,96,3,99,G IT L,13191,837,14028,25008,1334,26342
Warren,Litchfield,5,332,0,332,226,1,227,4,0,4,G IT L RF,425,6,431,1008,9,1017
Washington,Litchfield,5,729,40,769,750,73,823,25,2,27,G IT L RF,900,82,982,3181,230,3411
Waterbury,New Haven,"3,5",6921,234,7155,27258,969,28227,802,35,837,G WF,21474,859,22333,55753,2063,57816
Waterford,New London,2,2566,81,2647,3873,118,3991,100,1,101,G I IT L RF WF,6259,276,6535,12856,481,13337
Watertown,Litchfield,5,3707,105,3812,3484,104,3588,158,6,164,G IT L,7088,238,7326,14602,455,15057
West Hartford,Hartford,1,6876,219,7095,17698,634,18332,323,8,331,G IT L,13925,609,14534,38607,1469,40076
West Haven,New Haven,3,2695,261,2956,16937,1567,18504,108,7,115,G IT L,9302,1254,10556,28984,3084,32068
Westbrook,Middlesex,2,1134,36,1170,1032,41,1073,50,2,52,G IT L WF,1975,89,2064,4180,167,4347
Weston,Fairfield,4,1936,73,2009,2230,75,2305,39,1,40,G IT L RF,2444,102,2546,6717,257,6974
Westport,Fairfield,4,4613,366,4979,6038,459,6497,107,7,114,G IT L,6199,750,6949,16920,1580,18500
Wethersfield,Hartford,1,3535,110,3645,6723,277,7000,70,5,75,G I L,6944,312,7256,17240,703,17943
Willington,Tolland,2,788,23,811,1057,47,1104,38,4,42,G IT L WF,1690,92,1782,3582,162,3744
Wilton,Fairfield,4,4221,120,4341,2985,134,3119,47,0,47,G IT L SP,4211,194,4405,11460,448,11908
Winchester,Litchfield,1,1475,40,1515,1796,80,1876,43,0,43,IT L WF,3522,156,3678,6932,306,7238
Windham,Windham,2,1371,344,1715,4615,1171,5786,139,30,169,G W,4850,1807,6657,10974,3324,14298
Windsor,Hartford,1,2818,120,2938,9569,360,9929,138,2,140,G IT L WF,7741,371,8112,20187,854,21041
Windsor Locks,Hartford,1,1322,92,1414,2448,213,2661,59,3,62,G IT L WF,3554,352,3906,7497,660,8157
Wolcott,New Haven,5,2822,30,2852,2662,36,2698,173,3,176,G IT L WF,5510,89,5599,11032,155,11187
Woodbridge,New Haven,3,1325,26,1351,2286,57,2343,38,0,38,G IT L,2952,91,3043,6754,181,6935
Woodbury,Litchfield,5,2438,83,2521,1543,91,1634,191,7,198,G IT L,2585,154,2739,6661,331,6992
Woodstock,Windham,2,1615,63,1678,1316,82,1398,95,3,98,G IT L,1960,206,2166,4891,351,5242
Totals,,,414747,21803,436550,741404,57074,798478,18671,1169,19840,,842751,74784,917535,2017570,154830,2172400
