"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Harwinton ,Litchfield ,5 ,"1184 51 1,235 ",907 58 965 ,47 ,2 ,49 G IT L,1735 ,176 ,"1,911 ","3,873 ",287 ,"4,160"
Hebron ,Tolland ,2 ,"1585 41 1,626 ","1731 38 1,769 ",31 ,1 ,32 G IT L,3001 ,78 ,"3,079 ","6,348 ",158 ,"6,506"
Kent ,Litchfield ,5 ,430 32 462 ,685 56 741 ,5 ,0 ,5 G IT ,698 ,81 ,779 ,"1,818 ",169 ,"1,987"
Killingly ,Windham ,2 ,"1536 74 1,610 ","2336 139 2,475 ",121 ,5 ,126 G IT L WF,4857 ,326 ,"5,183 ","8,850 ",544 ,"9,394"
Killingworth ,Middlesex ,2 ,"1288 73 1,361 ","1073 61 1,134 ",30 ,1 ,31 G IT L WF,1909 ,145 ,"2,054 ","4,300 ",280 ,"4,580"
Lebanon ,New London ,2 ,"1103 122 1,225 ","1116 148 1,264 ",48 ,7 ,55 G IT L WF,1869 ,437 ,"2,306 ","4,136 ",714 ,"4,850"
Ledyard ,New London ,2 ,"2100 205 2,305 ","1951 184 2,135 ",261 ,25 ,286 G IT L WF,3073 ,556 ,"3,629 ","7,385 ",970 ,"8,355"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Lisbon ,New London ,2 ,510 17 527 ,842 38 880 ,20 ,0 ,20 G IT L WF,1175 ,65 ,"1,240 ","2,547 ",120 ,"2,667"
Litchfield ,Litchfield ,5 ,"1757 243 2,000 ","1368 278 1,646 ",64 ,9 ,73 G IT L,1905 ,586 ,"2,491 ","5,094 ","1,116 ","6,210"
Lyme ,New London ,2 ,507 23 530 ,541 18 559 ,16 ,2 ,18 G IT L,683 ,37 ,720 ,"1,747 ",80 ,"1,827"
Madison ,New Haven ,2 ,"3667 524 4,191 ","3099 498 3,597 ",92 ,11 ,103 G IT L WF,4599 ,1068 ,"5,667 ","11,457 ","2,101 ","13,558"
Manchester ,Hartford ,1 ,"4594 529 5,123 ","10064 1537 11,601 ",439 ,92 ,531 G I IT L WF,10375 ,1888 ,"12,263 ","25,472 ","4,046 ","29,518"
Mansfield ,Tolland ,2 ,"1413 339 1,752 ","4399 865 5,264 ",143 ,34 ,177 G IT L WF,5136 ,2011 ,"7,147 ","11,091 ","3,249 ","14,340"
Marlborough ,Hartford ,2 ,"1035 38 1,073 ","1198 69 1,267 ",77 ,3 ,80 G IT L,1698 ,101 ,"1,799 ","4,008 ",211 ,"4,219"
Meriden ,New Haven ,5 ,"3903 414 4,317 ","9849 1464 11,313 ",235 ,12 ,247 G IT L WF,14551 ,2618 ,"17,169 ","28,538 ","4,508 ","33,046"
Middlebury ,New Haven ,5 ,"2263 48 2,311 ","1056 26 1,082 ",56 ,0 ,56 G IT L,1782 ,50 ,"1,832 ","5,157 ",124 ,"5,281"
Middlefield ,Middlesex ,3 ,628 28 656 ,929 59 988 ,21 ,1 ,22 G IT L,1528 ,62 ,"1,590 ","3,106 ",150 ,"3,256"
Middletown ,Middlesex ,"1,3 ","3412 338 3,750 ","10055 1748 11,803 ",312 ,47 ,359 G IT L RB WF,7964 ,1744 ,"9,708 ","21,743 ","3,877 ","25,620"
Milford ,New Haven ,3 ,"6870 222 7,092 ","8901 378 9,279 ",361 ,23 ,384 G IT L MIP WF,16205 ,605 ,"16,810 ","32,337 ","1,228 ","33,565"
Monroe ,Fairfield ,4 ,"3121 262 3,383 ","2302 251 2,553 ",108 ,10 ,118 G IT L,6027 ,1077 ,"7,104 ","11,558 ","1,600 ","13,158"
Montville ,New London ,2 ,"1549 203 1,752 ","2424 358 2,782 ",90 ,6 ,96 G IM IT L,4356 ,1001 ,"5,357 ","8,419 ","1,568 ","9,987"
Morris ,Litchfield ,5 ,640 18 658 ,378 14 392 ,23 ,1 ,24 G IT L,681 ,29 ,710 ,"1,722 ",62 ,"1,784"
Naugatuck ,New Haven ,3 ,"3381 222 3,603 ","5321 451 5,772 ",245 ,32 ,277 G IT L WF,7548 ,839 ,"8,387 ","16,495 ","1,544 ","18,039"
New Britain ,Hartford ,5 ,"2732 612 3,344 ","13172 4457 17,629 ",348 ,94 ,442 G IT L WF,8796 ,4973 ,"13,769 ","25,048 ","10,136 ","35,184"
New Canaan ,Fairfield ,4 ,"6336 302 6,638 ","2468 164 2,632 ",65 ,8 ,73 G IT L,3650 ,309 ,"3,959 ","12,519 ",783 ,"13,302"
New Fairfield ,Fairfield ,5 ,"2929 6 2,935 ","1988 6 1,994 ",151 ,1 ,152 G IC IT L WF,4442 ,11 ,"4,453 ","9,510 ",24 ,"9,534"
New Hartford ,Litchfield ,1 ,"1369 74 1,443 ","1121 81 1,202 ",94 ,10 ,104 G IT L WF,1706 ,207 ,"1,913 ","4,290 ",372 ,"4,662"
New Haven ,New Haven ,3 ,"2546 354 2,900 ","48505 4628 53,133 ",419 ,62 ,481 G IT L RF WF,18689 ,2316 ,"21,005 ","70,159 ","7,360 ","77,519"
New London ,New London ,2 ,"1325 39 1,364 ","7182 221 7,403 ",164 ,3 ,167 G IT L WF,6150 ,213 ,"6,363 ","14,821 ",476 ,"15,297"
New Milford ,Litchfield ,5 ,"4154 247 4,401 ","3602 204 3,806 ",212 ,18 ,230 G IT L,6696 ,487 ,"7,183 ","14,664 ",956 ,"15,620"
Newington ,Hartford ,1 ,"3032 299 3,331 ","7096 586 7,682 ",239 ,20 ,259 G IT L WF,6761 ,964 ,"7,725 ","17,128 ","1,869 ","18,997"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Newtown ,Fairfield ,5 ,"5126 345 5,471 ","4358 342 4,700 ",311 ,33 ,344 G IT L WF,6815 ,566 ,"7,381 ","16,610 ","1,286 ","17,896"
Norfolk ,Litchfield ,5 ,209 23 232 ,373 26 399 ,12 ,1 ,13 G IT L WF,450 ,89 ,539 ,"1,044 ",139 ,"1,183"
North Branford ,New Haven ,3 ,"1805 44 1,849 ","2006 54 2,060 ",48 ,1 ,49 G IT L,4859 ,130 ,"4,989 ","8,718 ",229 ,"8,947"
North Canaan ,Litchfield ,5 ,550 0 550 ,472 0 472 ,22 ,0 ,22 G IT L,980 ,0 ,980 ,"2,024 ",0 ,"2,024"
North Haven ,New Haven ,3 ,"3656 94 3,750 ","3681 151 3,832 ",89 ,7 ,96 G IT L WF,7666 ,281 ,"7,947 ","15,092 ",533 ,"15,625"
North Stonington ,New London ,2 ,"1078 6 1,084 ",905 1 906 ,31 ,0 ,31 G IT L,1769 ,8 ,"1,777 ","3,783 ",15 ,"3,798"
Norwalk ,Fairfield ,4 ,"8649 423 9,072 ","16193 867 17,060 ",941 ,56 ,997 G IT L WF,18587 ,1162 ,"19,749 ","44,370 ","2,508 ","46,878"
Norwich ,New London ,2 ,"2233 610 2,843 ","5925 1732 7,657 ",220 ,62 ,282 G IT L RF WF,7036 ,3366 ,"10,402 ","15,414 ","5,770 ","21,184"
Old Lyme ,New London ,2 ,"1581 202 1,783 ","1481 262 1,743 ",53 ,5 ,58 G IT L,1946 ,608 ,"2,554 ","5,061 ","1,077 ","6,138"
Old Saybrook ,Middlesex ,2 ,"2278 115 2,393 ","2054 101 2,155 ",79 ,2 ,81 G IT L,2981 ,170 ,"3,151 ","7,392 ",388 ,"7,780"
Orange ,New Haven ,3 ,"2372 55 2,427 ","2413 59 2,472 ",97 ,3 ,100 G IT L WF,5185 ,164 ,"5,349 ","10,067 ",281 ,"10,348"
Oxford ,New Haven ,4 ,"2607 159 2,766 ","1338 125 1,463 ",141 ,14 ,155 G IT L,3967 ,453 ,"4,420 ","8,053 ",751 ,"8,804"
Plainfield ,Windham ,2 ,"1500 26 1,526 ","2889 73 2,962 ",134 ,4 ,138 G IT L WF,3995 ,116 ,"4,111 ","8,518 ",219 ,"8,737"
Plainville ,Hartford ,5 ,"2017 50 2,067 ","3650 26 3,676 ",51 ,0 ,51 G IT L,4706 ,35 ,"4,741 ","10,424 ",111 ,"10,535"
Plymouth ,Litchfield ,5 ,"1607 79 1,686 ","1797 111 1,908 ",55 ,1 ,56 G L,3875 ,314 ,"4,189 ","7,334 ",505 ,"7,839"
Pomfret ,Windham ,2 ,616 37 653 ,701 64 765 ,14 ,1 ,15 G IT L WF,1080 ,176 ,"1,256 ","2,411 ",278 ,"2,689"
Portland ,Middlesex ,1 ,"1151 92 1,243 ","1902 199 2,101 ",32 ,3 ,35 G IT L WF,2232 ,405 ,"2,637 ","5,317 ",699 ,"6,016"
Preston ,New London ,2 ,766 77 843 ,693 75 768 ,38 ,3 ,41 G IT L,1366 ,213 ,"1,579 ","2,863 ",368 ,"3,231"
Prospect ,New Haven ,3 ,"1879 97 1,976 ","1283 58 1,341 ",63 ,5 ,68 G IT L,2897 ,238 ,"3,135 ","6,122 ",398 ,"6,520"
Putnam ,Windham ,2 ,913 26 939 ,"1674 43 1,717 ",90 ,7 ,97 G IT L WF,2460 ,72 ,"2,532 ","5,137 ",148 ,"5,285"
Redding ,Fairfield ,4 ,"2070 54 2,124 ","2015 59 2,074 ",73 ,3 ,76 G IT L WF,2649 ,86 ,"2,735 ","6,807 ",202 ,"7,009"
Ridgefield ,Fairfield ,4 ,"5723 379 6,102 ","4471 324 4,795 ",138 ,8 ,146 G IT L,5858 ,452 ,"6,310 ","16,190 ","1,163 ","17,353"
Rocky Hill ,Hartford ,1 ,"2250 134 2,384 ","4079 345 4,424 ",16 ,3 ,19 G IT L,4459 ,478 ,"4,937 ","10,804 ",960 ,"11,764"
Roxbury ,Litchfield ,5 ,485 7 492 ,471 7 478 ,16 ,0 ,16 G IT L WF,699 ,14 ,713 ,"1,671 ",28 ,"1,699"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Salem ,New London ,2 ,592 68 660 ,763 106 869 ,22 ,7 ,29 G IT L WF,1009 ,289 ,"1,298 ","2,386 ",470 ,"2,856"
Salisbury ,Litchfield ,5 ,540 93 633 ,"1015 206 1,221 ",31 ,15 ,46 G IT L,869 ,302 ,"1,171 ","2,455 ",616 ,"3,071"
Scotland ,Windham ,2 ,272 0 272 ,304 0 304 ,19 ,0 ,19 G IT L WF,517 ,0 ,517 ,"1,112 ",0 ,"1,112"
Seymour ,New Haven ,3 ,"2047 86 2,133 ","2116 82 2,198 ",25 ,1 ,26 G IT L,5109 ,221 ,"5,330 ","9,297 ",390 ,"9,687"
Sharon ,Litchfield ,5 ,464 20 484 ,569 63 632 ,3 ,0 ,3 G IT L,557 ,94 ,651 ,"1,593 ",177 ,"1,770"
Shelton ,Fairfield ,"3,4 ","5991 224 6,215 ","4994 115 5,109 ",80 ,3 ,83 G IT L,11921 ,769 ,"12,690 ","22,986 ","1,111 ","24,097"
Sherman ,Fairfield ,5 ,811 30 841 ,606 29 635 ,42 ,2 ,44 G IT L,1132 ,67 ,"1,199 ","2,591 ",128 ,"2,719"
Simsbury ,Hartford ,5 ,"4981 200 5,181 ","4733 204 4,937 ",106 ,9 ,115 G IT L,6034 ,281 ,"6,315 ","15,854 ",694 ,"16,548"
Somers ,Tolland ,2 ,"1705 207 1,912 ","1153 198 1,351 ",42 ,10 ,52 G IT L,2375 ,646 ,"3,021 ","5,275 ","1,061 ","6,336"
South Windsor ,Hartford ,1 ,"3374 202 3,576 ","5346 384 5,730 ",130 ,12 ,142 G IT L SWC WF,5995 ,690 ,"6,685 ","14,845 ","1,288 ","16,133"
Southbury ,New Haven ,5 ,"4181 328 4,509 ","2944 231 3,175 ",176 ,10 ,186 G IT L,5637 ,764 ,"6,401 ","12,938 ","1,333 ","14,271"
Southington ,Hartford ,1 ,"5868 723 6,591 ","7244 1007 8,251 ",424 ,58 ,482 G IT L,10914 ,2485 ,"13,399 ","24,450 ","4,273 ","28,723"
Sprague ,New London ,2 ,324 28 352 ,582 73 655 ,12 ,1 ,13 G IT L WF,698 ,116 ,814 ,"1,616 ",218 ,"1,834"
Stafford ,Tolland ,2 ,"1369 45 1,414 ","2613 56 2,669 ",67 ,2 ,69 G L,3320 ,125 ,"3,445 ","7,369 ",228 ,"7,597"
Stamford ,Fairfield ,4 ,"12280 577 12,857 ","22977 1542 24,519 ",980 ,85 ,"1,065 G IT L",21215 ,1622 ,"22,837 ","57,452 ","3,826 ","61,278"
Sterling ,Windham ,2 ,453 1 454 ,435 1 436 ,38 ,0 ,38 IT L,1259 ,7 ,"1,266 ","2,185 ",9 ,"2,194"
Stonington ,New London ,2 ,"2703 88 2,791 ","3937 138 4,075 ",77 ,3 ,80 G IT L WF,5806 ,207 ,"6,013 ","12,523 ",436 ,"12,959"
Stratford ,Fairfield ,3 ,"5799 87 5,886 ","10308 205 10,513 ",240 ,5 ,245 G IT L,15181 ,294 ,"15,475 ","31,528 ",591 ,"32,119"
Suffield ,Hartford ,2 ,"2346 151 2,497 ","2129 180 2,309 ",179 ,25 ,204 G IT L,3276 ,451 ,"3,727 ","7,930 ",807 ,"8,737"
Thomaston ,Litchfield ,5 ,"1108 141 1,249 ","1004 164 1,168 ",31 ,7 ,38 G IT L,2095 ,454 ,"2,549 ","4,238 ",766 ,"5,004"
Thompson ,Windham ,2 ,"1013 35 1,048 ","1582 64 1,646 ",30 ,15 ,45 G IT L,2680 ,116 ,"2,796 ","5,305 ",230 ,"5,535"
Tolland ,Tolland ,2 ,"2123 137 2,260 ","2366 196 2,562 ",136 ,0 ,136 G L,4484 ,392 ,"4,876 ","9,109 ",725 ,"9,834"
Torrington ,Litchfield ,"1,5 ","4392 180 4,572 ","5696 283 5,979 ",220 ,14 ,234 G IT L WF,8228 ,458 ,"8,686 ","18,536 ",935 ,"19,471"
Trumbull ,Fairfield ,4 ,"6093 190 6,283 ","6020 250 6,270 ",114 ,2 ,116 G IT L,11526 ,467 ,"11,993 ","23,753 ",909 ,"24,662"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive ,Total ,Active ,Inactive ,Totals
Union ,Tolland ,2 ,218 5 223 ,132 2 134 ,10 ,0 ,10 G IT L,225 ,9 ,234 ,585 ,16 ,601
Vernon ,Tolland ,2 ,"2597 375 2,972 ","4192 786 4,978 ",178 ,22 ,200 IT L,6446 ,1775 ,"8,221 ","13,413 ","2,958 ","16,371"
Voluntown ,New London ,2 ,315 56 371 ,382 82 464 ,12 ,3 ,15 G I IT L,629 ,197 ,826 ,"1,338 ",338 ,"1,676"
Wallingford ,New Haven ,3 ,"4671 203 4,874 ","6874 355 7,229 ",151 ,9 ,160 G IT L,12984 ,869 ,"13,853 ","24,680 ","1,436 ","26,116"
Warren ,Litchfield ,5 ,332 0 332 ,218 0 218 ,3 ,2 ,5 G IT L RF,413 ,5 ,418 ,966 ,7 ,973
Washington ,Litchfield ,5 ,704 5 709 ,732 10 742 ,37 ,0 ,37 G IT L RF,881 ,17 ,898 ,"2,354 ",32 ,"2,386"
Waterbury ,New Haven ,"3,5 ","6847 276 7,123 ","26490 1034 27,524 ",785 ,34 ,819 G WF,22063 ,1013 ,"23,076 ","56,185 ","2,357 ","58,542"
Waterford ,New London ,2 ,"2575 100 2,675 ","3754 113 3,867 ",123 ,1 ,124 G I IT L RF WF,5916 ,236 ,"6,152 ","12,368 ",450 ,"12,818"
